metric,value
artifact_check_count,5
artifact_pass_count,5
pass_count,5
row_count,5
step94_activation_feature_count,4
step94_activation_guard_pass,True
step94_artifact_budget_pass,True
step94_completed_lbm_steps,1
step94_ggui_screenshot_count,1
step94_ggui_video_count,0
step94_ggui_visualization_enabled_count,1
step94_output_guard_pass,True
step94_particle_npy_count,0
step94_taichi_ggui_visualization_quality_pass,True
step94_taichi_ggui_visualization_smoke_matrix_pass,True
step94_vtr_count,0
step96_step94_regression_guard_pass,True
