metric,value
combined_runtime_geometry_wall_velocity_planned_for_step100,True
duration_expansion_from_step98,True
from_step98_duration_expansion,True
geometry_motion_application_mode_planned_for_step100,diagnostic_only
geometry_mutation_allowed,False
geometry_type_planned_for_step100,squid_proxy
ggui_interactive_window_allowed_for_step100,True
ggui_screenshot_allowed_for_step100,True
ggui_video_allowed_for_step100,False
ggui_visualization_planned_for_step100,True
grid_64_planned_for_step100,False
guard_pass_count,55
guard_row_count,55
link_area_planned_for_step100,False
particle_npy_output_planned_for_step100,False
planned_step100_activation_feature_count,5
planned_step100_n_grid,48
planned_step100_n_lbm_steps,5
previous_step98_n_grid,48
previous_step98_n_lbm_steps,1
real_geometry_candidate_data_planned_for_step100,False
real_geometry_planned_for_step100,False
row_count,55
runtime_geometry_planned_for_step100,True
squid_proxy_planned_for_step100,True
step100_allowed_row_name,first_user_squid_proxy_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_48_5step_ggui_visual_run
step99_48cube_5step_taichi_ggui_visualization_guard_pass,True
step99_activation_feature_count,0
target_lbm_field_planned_for_step100,solid_vel
target_u_lbm_planned_for_step100,"[0.0, 0.0, 0.0]"
video_output_planned_for_step100,False
vtr_output_planned_for_step100,False
wall_velocity_application_mode_planned_for_step100,solid_vel_experimental
wall_velocity_planned_for_step100,True
write_particles_allowed_for_step100,False
write_vtk_planned_for_step100,False
